Nº;Seção;Subseção;Parâmetro;Tipo;Padrão;Descrição da fonte;Opções do enum;Notas operacionais;EA_Version;EA_SHA256
1;General;;NomedaEstrategia;string;"""White Rabbit X""";Strategy Name;;Use dentro de sua seção e valide a combinação completa.;1.12;2D81FDAA674A60EA5174A17BA94D01B783C0497C4C3C7247AD03179C8FD29768
2;Entries, Signal and Position Management;;TimeFrame;ENUM_ALLOWED_TIMEFRAMES;M1;Entry timeframe;M1, M5, M15, M30, H1, H4, D1, W1;Signal evaluation is gated to one decision per closed bar of this timeframe.;1.12;2D81FDAA674A60EA5174A17BA94D01B783C0497C4C3C7247AD03179C8FD29768
3;Entries, Signal and Position Management;Entry Indicator;myBlankSpaceEntryIndicator;string;"""""";||================== Entry Indicator ==================||;;"Separador visual mantido para compatibilidade do esquema .set; não otimizar.";1.12;2D81FDAA674A60EA5174A17BA94D01B783C0497C4C3C7247AD03179C8FD29768
4;Entries, Signal and Position Management;Entry Indicator;EntryIndicator;ENUM_ENTRY_INDICATOR;EntryIndicator_MACD;Selects the indicator used by Entry Method;EntryIndicator_MACD, EntryIndicator_EMA_Cross, EntryIndicator_Momentum, EntryIndicator_Stochastic, EntryIndicator_TRIX, EntryIndicator_RSI, EntryIndicator_CCI, EntryIndicator_WPR, EntryIndicator_DeMarker, EntryIndicator_MFI, EntryIndicator_OsMA, EntryIndicator_Ichimoku;"Selects the engine; Fast_EMA, Slow_EMA and MACD_SMA are reused by that engine.";1.12;2D81FDAA674A60EA5174A17BA94D01B783C0497C4C3C7247AD03179C8FD29768
5;Entries, Signal and Position Management;Entry Indicator;InpAppliedPrice;ENUM_APPLIED_PRICE;PRICE_CLOSE;Applied price used by the selected indicator;;Use dentro de sua seção e valide a combinação completa.;1.12;2D81FDAA674A60EA5174A17BA94D01B783C0497C4C3C7247AD03179C8FD29768
6;Entries, Signal and Position Management;Entry Indicator;Fast_EMA;int;12;"First period: MACD/EMA fast; oscillator period; Stochastic %K; Ichimoku Tenkan";;"First sequential period; for Ichimoku this is Tenkan.";1.12;2D81FDAA674A60EA5174A17BA94D01B783C0497C4C3C7247AD03179C8FD29768
7;Entries, Signal and Position Management;Entry Indicator;Slow_EMA;int;26;"Second period: MACD/EMA slow; Ichimoku Kijun";;"Second sequential period; for Ichimoku this is Kijun.";1.12;2D81FDAA674A60EA5174A17BA94D01B783C0497C4C3C7247AD03179C8FD29768
8;Entries, Signal and Position Management;Entry Indicator;MACD_SMA;int;9;"Third period: MACD signal; oscillator signal; Stochastic %D; Ichimoku Senkou B";;"Third sequential period; for Ichimoku this is Senkou Span B.";1.12;2D81FDAA674A60EA5174A17BA94D01B783C0497C4C3C7247AD03179C8FD29768
9;Entries, Signal and Position Management;Entry Method;myBlankSpace1;string;"""""";||===================== Entry Method =======================||;;"Separador visual mantido para compatibilidade do esquema .set; não otimizar.";1.12;2D81FDAA674A60EA5174A17BA94D01B783C0497C4C3C7247AD03179C8FD29768
10;Entries, Signal and Position Management;Entry Method;EntryMethod;ENUM_ENTRY_TRIGGER_MODE;EntryTrigger_All;Reversal, signal cross, reference cross or their combinations;EntryTrigger_Reversal, EntryTrigger_SignalCross, EntryTrigger_ReferenceCross, EntryTrigger_ReversalAndSignalCross, EntryTrigger_ReversalAndReferenceCross, EntryTrigger_SignalAndReferenceCross, EntryTrigger_All;"And modes require both events on the same closed bar; All is OR.";1.12;2D81FDAA674A60EA5174A17BA94D01B783C0497C4C3C7247AD03179C8FD29768
11;Entries, Signal and Position Management;;myBlankSpaceStoch;string;"""""";||==================== Stochastic =====================||;;"Separador visual mantido para compatibilidade do schema .set; nao otimizar.";1.12;2D81FDAA674A60EA5174A17BA94D01B783C0497C4C3C7247AD03179C8FD29768
12;Entries, Signal and Position Management;;StochasticSlowing;int;3;Stochastic: suavizacao do %K;;So tem efeito quando o indicador de entrada e o Stochastic.;1.12;2D81FDAA674A60EA5174A17BA94D01B783C0497C4C3C7247AD03179C8FD29768
