Class;Symbol;System;Side;Variant;OptimizedParams;Combinations;Algorithm;MagicNumber;Status;Path;SHA256
01_Forex;AUDCAD;01_SLTP;BUY;MULTI;33;399504876503040000000;FAST_GENETIC;662995479;RESEARCH;01_Forex/AUDCAD/01_SLTP/BUY_MULTI.set;3C16E02D546D5624D99D430CCCBB8B059CC0E35D31726D6AA08980617267B622
01_Forex;AUDCAD;01_SLTP;BUY;ICHIMOKU;32;8716470032793600000;FAST_GENETIC;683603558;RESEARCH;01_Forex/AUDCAD/01_SLTP/BUY_ICHIMOKU.set;B26188FACE2A3983D7E72903A95CBB54953B73C1BF0F5678D5436A0F2028DAE3
01_Forex;AUDCAD;01_SLTP;SELL;MULTI;33;399504876503040000000;FAST_GENETIC;664020589;RESEARCH;01_Forex/AUDCAD/01_SLTP/SELL_MULTI.set;B29F15C8C98F81AE4977DF9E7A52066AC082089932AF3321712933429A936C0A
01_Forex;AUDCAD;01_SLTP;SELL;ICHIMOKU;32;8716470032793600000;FAST_GENETIC;619301347;RESEARCH;01_Forex/AUDCAD/01_SLTP/SELL_ICHIMOKU.set;F84DD8AD961E5F685C492384D5FA826C44298738A522829501D0DA9FA9E09B51
01_Forex;AUDCAD;02_SLTP_ORGANIC;BUY;MULTI;33;399504876503040000000;FAST_GENETIC;677313929;RESEARCH;01_Forex/AUDCAD/02_SLTP_ORGANIC/BUY_MULTI.set;18C167F9F039F412EE32979D281BE99B0C664FDAF399B616EBB8EB490B722AC1
01_Forex;AUDCAD;02_SLTP_ORGANIC;BUY;ICHIMOKU;32;8716470032793600000;FAST_GENETIC;616707629;RESEARCH;01_Forex/AUDCAD/02_SLTP_ORGANIC/BUY_ICHIMOKU.set;7178260B28FA74C4E98CD570B6611A2D34B6E15C8DEA1FDB666A0ECC5DFBFAF0
01_Forex;AUDCAD;02_SLTP_ORGANIC;SELL;MULTI;33;399504876503040000000;FAST_GENETIC;684865060;RESEARCH;01_Forex/AUDCAD/02_SLTP_ORGANIC/SELL_MULTI.set;0FF9C7ECC9E9D68F4FB11D4307D7829D7B275501FF6FF1A779973BC718D3E187
01_Forex;AUDCAD;02_SLTP_ORGANIC;SELL;ICHIMOKU;32;8716470032793600000;FAST_GENETIC;610035473;RESEARCH;01_Forex/AUDCAD/02_SLTP_ORGANIC/SELL_ICHIMOKU.set;FEBBBE64C20DFCC650D54A78FDB11234788737CAC520080267CD7BD2AF07F023
01_Forex;AUDCAD;03_TRAIL_ONLY;BUY;MULTI;32;107709648076800000000;FAST_GENETIC;673445310;RESEARCH;01_Forex/AUDCAD/03_TRAIL_ONLY/BUY_MULTI.set;9B00BF7E0E2423B23E201658E34AD7CAA139B851703B6B3574A18A3E57FFBAFA
01_Forex;AUDCAD;03_TRAIL_ONLY;BUY;ICHIMOKU;31;2350028685312000000;FAST_GENETIC;654211801;RESEARCH;01_Forex/AUDCAD/03_TRAIL_ONLY/BUY_ICHIMOKU.set;3E84DE7F549F72DBE620F35D29E41866F83F7EA047A56E26131322DC8AC28675
01_Forex;AUDCAD;03_TRAIL_ONLY;SELL;MULTI;32;107709648076800000000;FAST_GENETIC;610769058;RESEARCH;01_Forex/AUDCAD/03_TRAIL_ONLY/SELL_MULTI.set;3F07CEA5957FC2769F33AF57659D4A45495EB3D815942E64AE381B315CBC5B01
01_Forex;AUDCAD;03_TRAIL_ONLY;SELL;ICHIMOKU;31;2350028685312000000;FAST_GENETIC;695634768;RESEARCH;01_Forex/AUDCAD/03_TRAIL_ONLY/SELL_ICHIMOKU.set;DA54D1E27A910CD9E36DAF59AFBF9CF1461529BE5A600CF10E43B7EC674A7B50
01_Forex;AUDCAD;04_SLTP_TRAIL;BUY;MULTI;36;87891072830668800000000;FAST_GENETIC;616002805;RESEARCH;01_Forex/AUDCAD/04_SLTP_TRAIL/BUY_MULTI.set;40286DCD5E8C38E754AC96F9A5FB4484C2E4651194DCB1E1D0434ACDFA7BEB79
01_Forex;AUDCAD;04_SLTP_TRAIL;BUY;ICHIMOKU;35;1917623407214592000000;FAST_GENETIC;619375896;RESEARCH;01_Forex/AUDCAD/04_SLTP_TRAIL/BUY_ICHIMOKU.set;9112117E2D8143AFD3BE5F232CA7221B8B7BBC7F44B9CCE72585BB3D49DB10F8
